Date,Draw1,Draw2,Draw3,Draw4,Draw5,Draw6,Bonus Ball,Machine
30-Jul-2025,37,3,21,5,18,7,38,Lotto 2
26-Jul-2025,28,42,24,57,23,9,18,Lotto 2
23-Jul-2025,48,3,11,21,16,9,22,Lotto 2
19-Jul-2025,25,46,5,7,29,40,15,Lotto 2
16-Jul-2025,6,47,55,12,9,15,56,Lotto 2
12-Jul-2025,41,11,25,4,51,17,14,Lotto 2
09-Jul-2025,51,12,15,25,58,6,57,Lotto 2
05-Jul-2025,45,37,43,9,18,12,15,Lancelot
02-Jul-2025,34,51,54,55,11,4,57,Lancelot
28-Jun-2025,17,40,22,47,38,16,4,Guinevere
25-Jun-2025,21,54,14,49,16,42,41,Guinevere
21-Jun-2025,58,31,13,12,10,6,15,Guinevere
18-Jun-2025,44,8,15,49,31,38,59,Guinevere
14-Jun-2025,42,36,48,59,8,20,46,Lancelot
11-Jun-2025,47,53,35,13,42,8,39,Lancelot
07-Jun-2025,27,11,30,46,39,17,56,Lancelot
04-Jun-2025,9,45,32,2,19,57,31,Lancelot
31-May-2025,20,33,12,11,16,8,52,Guinevere
28-May-2025,8,31,28,49,55,33,13,Guinevere
24-May-2025,9,13,12,26,38,40,4,Guinevere
21-May-2025,16,36,20,30,5,6,2,Guinevere
17-May-2025,34,24,18,51,47,35,26,Lancelot
14-May-2025,14,34,2,52,48,37,29,Lancelot
10-May-2025,27,13,36,14,33,15,18,Lancelot
07-May-2025,12,24,21,3,45,41,20,Lancelot
03-May-2025,18,23,41,17,38,47,9,Guinevere
30-Apr-2025,16,40,42,28,23,55,44,Guinevere
26-Apr-2025,32,36,59,7,8,11,21,Guinevere
23-Apr-2025,42,1,37,24,28,26,44,Guinevere
19-Apr-2025,13,11,1,37,2,30,33,Lancelot
16-Apr-2025,48,57,39,27,36,59,45,Lancelot
12-Apr-2025,4,55,12,10,22,53,31,Lancelot
09-Apr-2025,12,46,14,28,31,33,43,Lancelot
05-Apr-2025,33,59,57,53,10,26,18,Guinevere
02-Apr-2025,40,43,36,30,5,41,53,Guinevere
29-Mar-2025,1,7,35,57,17,43,19,Guinevere
26-Mar-2025,18,22,17,34,53,58,14,Guinevere
22-Mar-2025,10,54,38,55,11,34,26,Lancelot
19-Mar-2025,35,6,15,27,43,41,28,Lancelot
15-Mar-2025,5,31,6,33,20,4,28,Lancelot
12-Mar-2025,4,52,42,38,56,58,44,Lancelot
08-Mar-2025,44,29,1,42,19,33,21,Guinevere
05-Mar-2025,44,43,8,30,19,18,58,Guinevere
01-Mar-2025,6,14,19,41,11,43,53,Guinevere
26-Feb-2025,4,1,10,40,26,31,24,Guinevere
22-Feb-2025,7,33,3,9,29,51,5,Lancelot
19-Feb-2025,7,40,39,43,5,37,8,Lancelot
15-Feb-2025,52,17,31,46,57,39,1,Lancelot
12-Feb-2025,33,56,8,34,59,50,17,Lancelot
08-Feb-2025,6,47,36,28,52,45,51,Guinevere
05-Feb-2025,34,27,54,26,51,41,52,Guinevere
